der Takt;beat
mitsingen;to sing along
daran liegen;to be due to
einfallen;to think of
etw. noch kennen;to remember sth.
die zweitausender Jahre;the two thousand years
gefühlt wie;feels like
der Klingelton;ring tone
die Werbung;commercial
der bekannteste;most well known
mit etw. Geld machen;to make money from sth.
völlig;completely
mitbringen;to bring along
vortragen;to recite
vorlesen;to read aloud
der Pluspunkt;bonus
sammeln;to collect
empfehlen;to recommend
nämlich;actually
romantisch;romantic
mit jdm. zusammen sein;to be with sb.
auf etw. aufmerksam machen;to draw attention to sth.
mittlerweile;by now
ein Fan werden;to become a fan
die Grußbotschaft;greeting
früher;back in the day
einem Wunsch nachkommen;to meet a wish
der Bussi (ugs.);kiss (colloq.)
der Schmatzer (ugs.);kiss (colloq.)
jdm. etw. widmen;to dedicate sth.
natürlich;of course
die Grußsendung;greeting show
der Erste sein;to be the first
auf eine Idee kommen;to get an idea
das Lieblingslied;favorite song
ausgehen;to go out
die Empfehlung;recommendation
der Schwarzwald;the Black Forest
kommen aus;to come from
wohnen in;to live in
sich kaputtlachen;to die laughing
abräumen;to score
manchmal;sometimes
das Thema wechseln;to change the subject
überrascht sein;to be surprised
sich an etw. gewöhnen;to become used to sth.
deswegen;therefore
anrufen;to call
sich etw. überlegen;to consider sth.
einladen;to invite
abnehmen;to pick up
hassen;to hate
brüllen (ugs.);to shout (colloq.)
räumlich;spatially
entfernt sein;to be distant 
der Haushalt;household
sehen;to see
die Überraschung;surprise
vorwiegend;mainly
das Haushaltsgerät;household appliance
der Haushaltsgegenstand;household item
putzen;to clean
der finanzielle Haushalt;financial budget
vergessen;to forget
glücklicherweise;luckily
etw. zu melden haben (ugs.);to have power (colloq.)
die Bundesregierung;German Federak Government
das Haushaltsgeld;housekeeping money
ausgeben;to spend
etw. meinen;to mean sth.
auf etw. kommen;to come up with sth.
passieren;to happen
klingeln;to ring
die Matratzenlieferung;mattress delivery
auf etw. hinweisen;to refer to sth.
alltäglich;everyday
normalerweise;normally
der Gegenstand;object
das Alltagsgespräch;everyday conversation
die WG (Wohngemeinschaft);flat share
die Klinke;door handle
an etw. hängen bleiben;to get caught on sth.
sich einhaken;to tangle up
das Kleidungsstück;piece of clothing 
auf jdn. warten;to wait for sb.
sprachlich;verbally
ausdrücken;to express
der Ausdruck;expression
komischerweise;strangely
selten;rarely
die Seite;page
wertvoll;valuable
zum Anfang;to begin with
die Stimmung;atmosphere
lockern;to loosen
bereit sein;to be prepared
der Buchstabe;letter
nennen;to name
die Waschmaschine;washing machine
der Wäschetrockner;tumble dryer
der Keller;basement
wünschen;to wish
annehmen;to accept
zwischendrin;in between
nachgucken;to check
übrigens;by the way
verändern;to change
umgangssprachlich;colloquially
sich etw. merken;to remember sth.
trotzdem;nevertheless
führen;to lead
das Gerät;device
gerade;just
akzeptieren;to accept
draußen;outside
der Wäscheständer;clothes horse
die Wäsche;laundry
in dem Sinne;in that sense
die Küche;kitchen
der Wischmopp;mop
hinter;behind
benutzen;to use
mehrmals;several times
der Kühlschrank;refrigerator
der Wasserkocher;electric kettle
sich befinden;to be located
meistens;mostly
das Badezimmer;bathroom
der Fön;hair dryer
jdn. schlagen;to beat sb.
gut tun;to feel good
die Schätzfrage;estimation question
schätzen;to estimate
der Putzschwamm;cleaning sponge
durchschnittlich;on average
anfangen;to start
im Durchschnitt;on average
die Antwort;answer
angeblich;allegedly
kaufen ;to buy 
die Kaffeemaschine;coffee machine
das Möbelstück;furniture
der Durchschnittsbürger;average citizen
das Küchengerät;kitchen appliance
unmöglich;impossible
teilen;to divide
multipliziern;to multiply
