gucken;to look
reinbringen;to bring in
irgendwie;somehow
passen;to fit
wahrscheinlich;probably
die Hände über dem Kopf zusammenschlagen (ugs.);to throw one's hands up in horror (colloq.)
komponieren;to compose
überhaupt;anyway
die Aufgabe;job
ständig;all the time
sprechen;to speak
der Urlaub;vacation
im Moment;at the moment
die Entspannung;relaxation
tatsächlich;actually
zwischendurch;in between
auftauchen;to appear
trotzdem;nevertheless
in diesen Tagen;in these days
jdm. etw. vorenthalten;to keep back sth. from sb.
die Freundschaft;friendship
jdn. beschäftigen;to concern sb.
die Rückmeldung;feedback
der Klingelton;ring tone
die Haustür;front door
im Nachhinein;in retrospect
selbstbewusst;self-confident
klingen;to sound
entstammen;to originate 
im Hinterkopf haben;to have in the back of mind
Fuß fassen;to gain a foothold
die Geburtsstadt;hometown
der Zusammenhang;context
damals;back then
korrigieren;to correct
ehrlich;honestly
entmutigend;discouraging
schwierig;difficult
Freunde finden;to make friends
schreiben;to write
die Frage;question
das Alter;age
die Rolle;role
der Freundeskreis;circle of friends
früher;back in the day
der Jugendliche;teenager
durchmischen;to mix
das Umfeld;environment
gesellschaftlich;social
sich engagieren;to get involved
sich anfreunden;to become friends
alle möglichen;all kinds of
die Altersgruppe;age group
kennenlernen;to get to know
der Verein;club
die meisten;most of
gründen;to establish
annähernd;approximately
ungewöhnlich;unusual
der Normalfall;normal case
unwichtig;not important
sozusagen;so to speak
scheißegal (ugs.);no matter (colloq.)
der Unterschied;difference
stören;to bother
voneinander lernen;to learn from each other
stringent;stringent
vorgeprägt;preformed
förderlich;helpful
in Hinsicht auf;with regard to
auf jeden Fall;in any case
allerdings;but
üblich;common
verschieden;various
umziehen;to move
deutschsprachig;German speaking
der Holländer;Dutchman
krass (ugs.);intense (colloq.)
die Überraschung;surprise
die Feuerwehr;fire brigade
leben;to live
existieren;to exist
überall;everywhere
bestätigen;to confirm
das Phänomen;phenomenon
offensichtlich;obviously
ermutigend;encouraging
schwer;with difficulty
jdn. aufnehmen;to take sb. in
freiwillig;voluntarily
das Altersheim;retirement home
die Einstellung;attitude
erwarten;to expect
mitschwingen;to have a connotation
die Erwartungshaltung;expectations
begegnen;to meet
mit offenen Armen;with open arms
befreiend;liberating
die Lebenseinstellung;attitude to life
die Einsamkeit;loneliness
wenige;few
finden;to find
treffen;to meet
das Wochenende;weekend
mittlerweile;meanwhile
eine Zeit lang;for a while
auf diese Weise;in this way
sich einsam fühlen;to feel lonely
in Kontakt kommen;to come into contact
befreundet sein;to be friends
lose;loose
der Blick;insight
die Möglichkeit;possibility
etw. ermöglichen;to make sth. possible
entstehen;to emerge
sich anfühlen;to feel
verbringen;to spend
kennen;to know
definieren;to define
unglaublich;incredible
der Hintergrund;background
die Erwartung;expectation
ausführlich;thorough
sich entmutigen lassen;to get discouraged
im Gegenteil;on the contrary
der Auftrag;mission
alltäglich;daily
sich etw. vorknöpfen;to have a go at sth.
besonders;special
die Gewohnheit;habit
kommunikativ;communicative
manche;some
verschicken;to send
empfangen;to receive
erstaunlich;astonishing
die Antwort;answer
responsiv;responsive
daran liegen;to be because of 
schnell;quickly
sitzen;to sit
sich unterhalten;to talk
gehen;to go
das Kommunikationsmittel;means of communication
benutzen;to use
klassischerweise;traditionally
strukturieren;to structure
das Älteste;oldest
vor Kurzem;recently
telefonieren;to speak on the phone
selten;rarely
die Sprachnachricht;voice message
vorher;previously
lieber;rather
sich verweigern;to refuse
im Gegensatz zu;in opposition to
unterschiedlich;different
anderer;other
langweilig;boring
die Hürde;obstacle
anhören;to listen to
verstehen;to understand
nerven;to annoy
gehören zu;to belong to
kritisch;critical
das Vertrauen;trust
verschlüsselt;encrypted
weniger;less
sammeln;to collect
etw. bilden;to create sth.
jemand;someone
aus Versehen;unintentionally
von vorne anfangen;to start over
die Mitte;halfway
die Firma;company
peinlich;embarrassing
deswegen;therefore
im Grunde;basically
der Nachteil;disadvantage
bevorzugen;to prefer
ständig;permanently
die Aufmerksamkeit;attention
weitermachen;to continue
antworten;to answer
zwischendurch;in the meantime
doof;stupid
das Gespräch;conversation
ausbauen;to expand
der Scherz;joke
mit einsteigen;to join 
Weihnachten;Christmas
etw. in die Länge ziehen;to extend sth.
morgens;in the morning
länger;longer
gestern;yesterday
ansonsten;otherwise
der Einzige;the only one
sich beschweren;to complain
nacheinander;one after the other
abbrechen;to cancel
laufen;to go
etw. vermissen;to miss sth.
vor allen Dingen;more than anything
die Meinung;opinion
der Datenschutz;privacy protection
was etw. betrifft;regarding sth.
verheimlichen;to hide
niedrig;low
gleichzeitig;at the same time
leichtfallen;to be easy
unterstützen;to support
recht haben;to be right
weltweit;worldwide
dominieren;to dominate
auf der Kippe stehen;to be on the edge
eigentlich;actually
richtig;correct
löschen;to delete
das Gefühl;feeling
aktiv sein;to be active
gewisse;certain
gleichaltrig;of the same age
entweder oder ;either or 
sich abmelden;to deregister
vor allem;most of all
nirgendwo;nowhere
reduzieren;to reduce
herausfinden;to find out
der Rest;rest
mittlerweile;by now
der Zuschauer;viewer
geben;to exist
das Arbeitsprojekt;work project
die Nachricht;message
brauchen;to need
ich würde gerne;I would like to
jdn. zu etw. bewegen;to persuade sb. to do sth.
beschließen;to decide
kommunizieren;to communicate
sich anpassen;to adapt
einige;some
versuchen;to try
flexibel;flexible
sich anmelden;to register
manchmal;sometimes
nennen;to call
irgendwann;at some point
überfordert sein;to be swamped
mögen;to like
anfangen;to start
abschalten;to switch off
bimmeln (ugs.);to ring (colloq.)
der Gast;guest
nervös;nervous
die Hierarchie;hierarchy
beziehungsweise;respectively
arbeitsrelevant;relevant to work
ehren;to honor
gestalten;to design
kriegen;to get
der Bildschirm;screen
die Vorschau;preview
die Benachrichtigung;notification
umgekehrt;on the contrary
gleichzeitig;simultaneously
beantworten;to answer
in Ordnung;alright
die Lesebestätigung;read receipt
testen;to test
ausstellen;to turn off
zustellen;to deliver
verpflichten;to oblige
sich freuen;to be happy
der Brief;letter
überhaupt nicht;not at all
problematisch;problematic
der Verzug;delay
sich schlecht fühlen;to feel badly
monatelang;for months
abstellen;to turn off
bewegen;to move
ausführlich;in detail
eine Entscheidung treffen;to make a decision
die Anfrage;to make
alles Mögliche;request
zurückschreiben;all kinds of things
aus aller Welt;from around the world
der Kommunikationsstil;communication style
auf meine Art;in my way
der Posteingang;inbox
älteste;oldest
bearbeiten;to take care of
aufschreiben;to write down
etw. ironisch meinen;to say sth. ironically
das Augenzwinkern;wink of the eye
ursprünglich;originally
die Stimme;voice
die Intonation;intonation
das Risiko;risk
besprechen;to discuss
verbunden sein;to be connected
die Gefahr;danger
das Missverständnis;misunderstanding
die Misskommunikation;miscommunication
bedrücken;to weigh down
unterschwellig;subliminal
interpretieren;to interpret
hochschaukeln;to escalate
streiten;to argue
das Missverständniss;misunderstanding
möglich;possible
ungefähr;approximately
unterschiedliche;different
die Plattform;platform
die Diskussionskultur;culture of discussion
die Hemmung;inhibition
die Leitlinie;guideline
regelmäßig;regularly
zuschauen;to watch
abdrehen (ugs.);to go crazy (colloq.)
die Botschaft;message
seinen Senf dazu geben (colloq.);to have one's say (colloq.)
die Art und Weise;the manner
persönlich;personally
beleidigend;offensive
die Falschinformation;misinformation
die Verschwörungstheorie;conspiracy theory
