warten;to wait
mitsingen;to sing along
schuldig;guilty
die Nachrichten;news
jein;yes and no
der Ernst;seriousness
die Lage;situation
im Endeffekt ;after all 
der Großteil;majority
die Bevölkerung ;population 
die Erkrankung;disease
wichtig;important
die gute Laune;good mood
sich kümmern;to care for
aufgeben;to give up
der Gedanke;thought
etw. beschließen;to decide on sth.
häufiger;more often
täglich;daily
das Zwischending;in-between thing
teuer;expensive
pro Woche ;per week 
die Vokabelhilfe;vocabulary helper
unterstützen;to support
süß;cute
rausschneiden;to cut out
öffentlich;public
vorher;before
der Trenner;separator
der letzte;the last 
der Alltag;everyday life
mittlerweile;by now
die Tochter;daughter
der Gegenstand;object
überreichen;to hand over
allerliebst;adorable
goldig;cute
entdecken;to discover
erreichen;to reach
zu etw. aufrufen;to call for sth.
etw. gestehen;to confess sth.
persönlich;personally
beantworten;to answer
vorlesen;to read aloud
einzigartig;unique
die Gemeinschaft;community
in der ganzen Welt;all over the world
die Geschichte;story
teilen;to share
das Gemeinschaftsgefühl;community spirit
etw. generieren;to create sth.
Huch! (ugs.);Oops! (colloq.)
schnell;fast
langsam;slow
aufwärmen;to warm up
loslegen;to get started
ziemlich viel;quite a lot
aufnehmen;to record
schneiden;to cut
mittendrin;right in the middle
etw. schaffen;to manage sth.
meistens;usually
quatschen;to chat
regelmäßig;regularly
aufholen;to catch up
nacheinander;one after the other
durchgemischt;mixed
sprachlich;linguistic
abwechselnd;alternately
geschrieben;written
vorbereitet sein;to be prepared
ernst;serious
der Frauentag;Women's Day
feiern;to celebrate
ursprünglich;originally
der Kampftag;day of fighting
die Blume;flower
die Praline;chocolate
hübsch;pretty
zart;soft
das Gesetz;law
die häusliche Gewalt;domestic violence
der Schuldige;guilty person
lauten;here: to be
bedeuten;to mean
im Voraus;beforehand
die Frau;woman
Stellung nehmen;to state one's position
jdm. aus dem Herzen sprechen;to say just what sb. was thinking
der Blumenstrauß;bouquet
das Schimpfwort;swear word
piepen;to beep
freundlich;friendly
ausrasten;to freak out
der Typ;guy
übrigens;by the way
der Zuschauer;spectator
egal;no matter
Scheiße (ugs.);shit (colloq.)
verschicken;to send
die Rolle;role
das Aussehen;appearance
reduzieren;to reduce
die Zahlen;numbers
angreifen;to attack
der Täter;offender
der Muttertag;Mother's Day
das Ziel;objective
die Ungleichheit;inequality
streiken;to strike
die Rede ;speech 
der Bundespräsident;President of the Federal Republic of Germany
witzig;funny
jdn. empfangen;to receive sb.
etw. leisten;to perform sth.
die Wissenschaft;science
die Wirtschaft;economy
im wahrsten Sinne des Wortes;in the true sense of the word
der alte weiße Mann;old white man
die Gleichberechtigung;equal rights
reflektiert;reflected
ändern;to change
der Beitrag;contribution
die Kategorie;category
nerven;to annoy
gut gemeint;well-meant
sich mit etw. auseinandersetzen;to deal with sth.
notwendig;necessary
die Gleichheit;equality
die Ungleichberechtigung;inequality of rights
die Baustelle;building site
bearbeiten;to process
studieren;to study
der Begriff;term
die Heimat;home 
die Übersetzung;translation
das Wörterbuch;dictionary
nachschauen;to look up
treffen;here: to match
übersetzen;to translate
besonders;especially
die Haltung;position
schwierig;difficult
die Ebene;level
einerseits;on the one hand
umziehen;to move
andererseits;on the other hand
nach Hause;homeward
das Dorf;village
die Stadt;town
groß werden;to grow up
Zeit verbringen;to spend time
aufwachsen;to grow up
leben;to live
der Bezug;reference
der Ort;place
die Nuance;nuance
spannend;exciting
weit;far
benutzen;to use
konservativ;conservative
das Innenministerium;Ministry of the Interior
übernehmen;to take over
umbenennen;to rename
kritisieren;to criticize
politisieren;to politicize
die Maßnahme;measure
gewinnen;to win
beschützen;to protect
eingestellt sein;to be orientated
abfällig;derogatory
der Innenminister;Minister of the Interior
zusammenhängen;to be related
eng;close
positiv belegt;with a positive connotation
vorsichtig;careful
aufgrund ;due to 
die Geschichte;history
persönlich;personal
etw. erlauben;to allow sth.
es kommt darauf an;it depends on
seit Jahren;for years 
der Freund;friend
zu etw. kommen;to come to sth.
umformulieren;to rephrase
die Überraschung;surprise
verwandt sein;to be related
die Familie;family
kennen;to know
der Vater;father
verheiratet;married
kennenlernen;to get to know
zusammen leben;to live together
gründen;to found
die Schule;school
der Beruf;profession
entwickeln;to develop
einsteigen;to join
beruflich;professional
davor;before that
der Austausch;exchange
der Verein;association
etw. aufbauen;to build sth. up
die Bildung;education
die Reise;journey
zufällig;accidentally
die AG (Arbeitsgemeinschaft);study group
ein Video drehen;to shoot a video
vor sich hin plätschern (ugs.);to trickle along (colloq.)
irgendwann ;at some point 
die Gelegenheit;occasion
merken;to realize
reinrutschen (ugs.);to fall into (colloq.)
im Gegensatz zu;contrary to
der Profi;expert
besuchen;to visit
danach;afterwards
die Weltreise;world trip
ein bisschen her sein;to be a while ago
involviert sein;to be involved
überrascht;surprised
auf der einen Seite;on the one hand
mit Sicherheit;most certainly
Lust haben;to be in the mood
stressig;stressful
die Beziehung;relationship
jdn. in eine Schublade stecken (ugs.);to put a label on sb. (colloq.)
in etw. bestehen;to consist in sth.
die Entscheidung;decision
Bescheid wissen;to know about
das Zimmer;room
wesentlich;main
die Aufgabe;task
das Buchhaltung;accounting
sich erinnern;to remember
etw. raten;to advise sth.
die Verantwortung;responsibility
unterschiedlich;different
stolz;proud
das Vorbild;role model
anders;different
