mitsingen;to sing along
sich wundern;to wonder
sich etw. ausdenken;to make up sth.
vorbereiten;to prepare
am Anfang;at the beginning
rat mal;guess what
zugange sein;to be busy
der Wahnsinn (ugs.);crazy (colloq.)
an die (ugs.);almost (colloq.)
geil (ugs.);awesome (colloq.)
langsam;slowly
das Gefühl;feeling
erleben;to experience
sich betrinken;to get drunk
einkaufen;to go shopping
jdn. beraten;to advise sb.
zugucken;to watch
das Weinregal;wine rack
schmecken;to taste
die Verbindung;connection
abbrechen;to break down
die halbe Stunde;half an hour
jdn. um etw. bitten;to ask sb. for sth.
die Heimatstadt;hometown
in der Nähe von;close to
dirigieren;to direct
die Tankstelle;gas station
zusammensitzen;to sit together
stumpf;dull
das Einzige;the only thing
die Eltern;parents
das Wochenende;weekend
verbringen;to spend
Frohe Ostern;Happy Easter
sich erinnern;to remember
Bussi (ugs.);kiss (colloq.)
Schmatzer (ugs.);kiss (colloq.)
fälschlicherweise;wrongly
bezeichnen;to call
Grüße ausrichten;to send greetings
unbemerkt;unnoticed
jdn. lieb haben;to love sb.
dumm;stupid
hin und her;back and forth
die Beziehung;relationship
das Schlimmste;the worst
geliebt;beloved
regelmäßig;regularly
getrennt sein;to be separated
der Nachweis;proof
ordentlich;duly
reichen;to be enough
natürlich;of course
vorlesen;to read aloud
weitergehen;to go on
grüßen;to greet
besuchen;to visit
witzig;funny
endlich;finally
etw. ausstellen;to turn sth. off
gleichzeitig;simultaneously
später;later
einschlafen;to fall asleep
der Rechner;computer
beobachten;to watch
wegnicken (ugs.);to doze off (colloq.)
sacken (ugs.);to sink (colloq.)
winken;to wave
das Schauspiel;spectacle
die Fernbeziehung;long-distance relationship
die Sendung;show
die Zeitschrift;magazine
auflagenstark;with a high circulation
das Insiderwissen;insider knowledge
durch sein (ugs.);to be done (colloq.)
teilweise;partly
berichten;to report
schmerzlich;painful
auffallen;to notice
monatlich;monthly
verschicken;to send
vierteljährlich;quarterly
veröffentlichen;to publish
landen;to end up
bedeuten;to mean
besorgen;to get
das Mitglied;member
die Auflage;edition
am Zahn der Zeit sein (ugs.);to be on the cutting edge (colloq.)
Bescheid wissen;to know about it
das Wegwerfprodukt;disposable product
nachhaltig;sustainable
der Müll;trash
die Ressourcenverschwendung;waste of resources
die Idee;idea
wohnen;to live
der Führerschein;driver's licence
empfehlenswert;recommendable
die Panne;breakdown
abschleppen;to tow away
der Haushalt;household
der Hinweis;hint
erwähnen;to mention
drucken;to print
hinweisen auf;to refer to
der Zusammenschluss;coalition
die Bewegung;movement
erstellen;to create
dringend;urgent
brauchen;to need
kostenlos;free of charge
die Freundschaft;friendship
vorschlagen;to propose
programmatisch;programmatically
bekommen;to get
sondern;but
Freunde finden;to find friends
die Schwierigkeit;difficulty
typisch deutsch;typically German
die Jugendzeit;teenage years
unbedingt;necessarily
