vorbereiten;to prepare
das Mitglied;member
der Vorteil;advantage
unterstützen;to support
die Mitgliedschaft;membership
geheim;secret
die Vokabeln;vocabulary
interaktiv;interactive
das Transkript;transcript
mithören;to listen
mitlesen;to read along
gleichzeitig;at the same time
quatschen (ugs);to chat (colloq)
persönlich;personally
nerven;to annoy
quasi;basically
die Blitzrunde;lightning round
sich abwechseln;to take turns
im Grunde;basically
etw rechtfertigen;to justify sth
die Liste;list
rappelvoll;jam-packed
winzig;tiny
der Fahrradweg;bicycle lane
überholen;to pass
riesig;huge
der Kasten;box
entsprechend;sufficient
lösen;to solve
der Frust;frustration
abladen;to vent
abschneiden;to cut off
das Ganzkörperfoto;full-body photo
die Fotografiegrundlagen;basics of photography
nachvollziehen;to understand
professionell;professional
der Medienmacher;media creator
selten;rarely
mittlerweile;by now
peinlich;embarrassing
wobei;however
besprechen;to discuss
der Winkel;angle
die Schulstunde;school lesson
unheimlich;incredibly
die Schülergruppe;student group
schreien;to scream
die Aufmerksamkeit;attention
sich bewegen;to move
pingelig;nitpicky
demnächst;soon
ausführlich;detailed
verlinken;to link
wunderbar;wonderfully
damit;so that
benennen;to name
die Zusammenfassung;summary
sondern;but
draufklicken;to click on it
das Gehirn;brain
der Kontext;context
aufgeregt;excited
abbestellen;to unsubscribe
entscheiden;to decide
die Pingeligkeit;nitpicking
anpassen;to adapt
die Wissenschaft;science
die Regel;rule
brechen;to break
die Umfrage;survey
der Punkt;point
die Hundescheiße (ugs);dog shit (colloq)
komischerweise;strangely
mehrmals;several times
der Gehweg;sidewalk
erwähnen;to mention
herumliegen;to lie around
fressen;to eat
die Hundekacke (ugs);dog poop (colloq)
detailliert;detailed
Widerworte geben;to talk back
der Haarschnitt;haircut
konkret;specific
rasieren;to shave
der Übergang;transition
deswegen;therefore
ziemlich;quite
entfernt;away
respektieren;to respect
präzise;precisely
testen;to test
das Verständnisproblem;misunderstanding
der Boden;floor
öffentlich;public
sowieso;anyway
die Benachrichtigung;notification
abstellen;to turn off
die Werbung;advertising
verschicken;to send
zustimmen;to agree
letztens;recently
der Lieferdienst;delivery service
der Transportdienst;transportation service
ausschalten;to turn off
der Rabatt;discount
bimmeln;to ring
der Sperrbildschirm;lock screen
die Kalendereinladung;calendar invitation
kommunizieren;to communicate
die Felsspalte;crevice
der Helikopter;helicopter
übrigens;by the way
der Störfaktor;disruptive factor
die Klopapierrolle;toilet roll
rauskommen;to come out
runterfallen;to fall down
nervig;annoying
unhygienisch;unhygienic
die Wand;wall
völlig;completely
unpraktikabel;impracticable
die Gemeinsamkeit;commonality
der Paketlieferant;parcel deliverer
wegrennen;to run away
stürmen;to storm
die Klingel;bell
einfügen;to add
zurückschicken;to send back
der Hersteller;manufacturer
kontaktieren;to contact
einschieben;to squeeze in
obwohl;although
komplett;completely
weglaufen;to run away
die Empathie;empathy
der Mitmensch;fellow human being
etw gelten;to be for sth
die Technologie;technology
sich mit etw umgeben;to surround oneself with sth
dreckig;dirty
der Fingerabdruck;fingerprint
der Krümel;crumb
das Herz;heart
der Gegenstand;object
empfinden;to feel
unbequem;uncomfortable
die Ausrüstung;equipment
die Regenjacke;rain jacket
der Regenschutz;rain cover
losfahren;to drive off
relativ;relatively
sich hinsetzen;to sit down
das Gefühl;feeling
der Körperteil;body part
der Einfluss;influence
das Wohlbefinden;well-being
einkleiden;to dress
gesamt;entire
sichern;to save
sich weigern;to refuse
irgendwann;at some point
bereuen;to regret
sich etw leisten können;to be able to afford sth
der Dienst;service
Hauptsache, ...;The main thing is ...
ungeduldig;impatient
gelten;to apply
das Rechtsfahrgebot;requirement to drive on the right
zwingen;to force
verpflichtet;obligated
die Spur;lane
verhindern;to prevent
die Ordnungswidrigkeit;administrative offense
der Stadtverkehr;city traffic
zu etw übergehen;to begin to do sth
vermischen;to mix
generell;generally
mehrere;several
insofern;in this respect
funktionieren;to work
komplex;complex
nachgucken;to look up
die Lektion;lesson
verwirren;to confuse
zu jdm durchdringen;to get through to sb
spezifisch;specific
der Mechanismus;mechanism
ausmisten;to clean out
aufploppen;to pop up
entweder;either
verschenken;to give away
die Freude;joy
akzeptieren;to accept
annehmen;to accept
reichen;to be enough
genießen;to enjoy
weiterverschenken;to give away
unvorstellbar;unimaginably
unhöflich;rude
weggeben;to give away
die Kernfrage;key question
behaupten;to claim
der Zeitpunkt;time
für etw plädieren;to plead for sth
enttäuscht;disappointed
wegtun;to put away
das Andenken;memory
physisch;physical
apropos;speaking of
gemein;mean
entwickeln;to develop
die Schuld;fault
existieren;to exist
einen Hang dazu haben, etw zu tun;to have a tendency to to do sth
der Umgang;interaction
berühren;to touch
jdn anrempeln;to bump into sb
die Schwierigkeit;difficulty
klauen;to steal
ersetzen;to replace
tiefenpsychologisch;depth-psychological
zusammenzucken;to flinch
die Kleinigkeit;little thing
der Klassiker;classic
empathisch;empathic
verständnisvoll;understanding
demonstrieren;to demonstrate
