benommen;dazed
die Pause;break
ausfallen;to be canceled
überraschenderweise;surprisingly
die Erklärung;explanation
die Kulisse;scene
das Teammitglied;team member
etw umschichten;to rearrange sth
diesmal;this time
aushelfen;to help out
überlegen;to think
etw ausfallen lassen;to cancel sth
das Mitglied;member
ein Wink mit dem Zaunpfahl (ugs);a very obvious hint (colloq)
der Hörer;listener
der Ausdruck;expression
die Aussprache;pronunciation
der Zaun;fence
der Pfahl;post
die Anekdote;anecdote
der Kaffeekonsum;consumption of coffee
erwähnen;to mention
durchgetaktet;tightly scheduled
die Uhrzeit;time
perfekt;perfect
jdm guttun;to do sb good
aufwachen;to wake up
aufgekratzt;exhilarated
gleichzeitig;at the same time
nachdem;after
der Hinweis;hint
ziemlich;quite
plump;clumsy
quasi;basically
auf etw hinweisen;to point sth out
abgrenzen;to mark off
das Grundstück;property
nebeneinander;side by side
ergeben;to make
winken;to wave
der Zaunpfahl;fence post
sondern;but
riesig;huge
die Energie;energy
ausgeglichen;balanced
die Kontrolle;control
der Gegensatz;contrast
der Kontrollverlust;loss of control
überraschen;to surprise
die Höhe;up
die Tiefe;down
irgendwann;at some point
der Wasserkocher;kettle
die Ästhetik;aesthetics
ästhetisch;aesthetic
irgendwie;somehow
der Teeladen;tea store
etw streicheln;to stroke sth
das Universum;universe
ausgeben;to spend
zumal;especially as
verschenken;to give away
letztens;recently
etw vorbeibringen;to bring sth over
allerdings;however
recherchieren;to research
die Thermosicherung;thermal fuse
kaputtgehen;to break
für etw sorgen;to ensure sth
der Draht;wire
erhitzen;to heat up
der Brand;fire
die Sicherung;fuse
herausfinden;to find out
das Bauteil;component
durchbrennen;to burn out
die Fabrik;factory
ethisch;ethical
die Perspektive;perspective
der Versand;shipping
die Importgebühr;import fee
insgesamt;in total
elektronisch;electronic
das Gerät;device
der Nachhauseweg;way home
der Elektroniker;electronics technician
stolpern;to stumble
das Gemeindehaus;community center
der Aufsteller;installer
der Bart;beard
großartig;fantastic
alteingesessen;old-school
kostenlos;for free
der Staubsauger;vacuum cleaner
uralt;very old
der Küchenmixer;kitchen mixer
der Ton;sound
aufnehmen;to record
deswegen;therefore
aufschrauben;to unscrew
damit;so that
messen;to measure
die Schraube;screw
etw abmachen;to take sth off
der Bastler;tinkerer
funktionieren;to work
der Bastelkeller;craft cellar
das Modellflugzeug;model airplane
zusammenbauen;to put together
das Werkzeug;tool
auseinandernehmen;to take apart
die Scheu;fear
enttäuschen;to disappoint
die Wendung;turn
begeistert;enthusiastic
gemeinsam;together
die Unterseite;bottom
der Schraubenzieher;screwdriver
dreieckig;triangular
nervig;annoying
die Spannung;voltage
stattdessen;instead
erwärmen;to warm up
der Heizdraht;heating wire
einschweißen;to weld in
das Ersatzteil;spare part
die Blumenvase;flower vase
die Obsoleszenz;obsolescence
jedenfalls;anyhow
obsolet;obsolete
der Spruch;saying
Einem geschenkten Gaul schaut man nicht ins Maul. (ugs);Never look a gift horse in the mouth. (colloq)
der Gaul;horse
das Gebiss;teeth
das Erlebnis;experience
stinknormal;ordinary
der Knopf;button
aufkriegen;to get open
demnächst;soon
eventuell;possibly
die Lebensmittelhaltbarkeit;food durability
jdn beschäftigen;to concern sb
benennen;to call
überhaupt;at all
sogenannt;so-called
das Mindesthaltbarkeitsdatum;best-before date
mitschwingen;to resonate
während;while
auslegen;to interpret
wegschmeißen;to throw away
abgelaufen;expired
der Lebensmittelhersteller;food manufacturer
sich etw ankreiden lassen (ugs);to take the blame for sth (colloq)
jdn beschuldigen;to accuse sb
der Hersteller;manufacturer
der Spielraum;leeway
verklagen;to sue
die Lebensmittelvergiftung;food poisoning
ernst;seriously
der Geruch;smell
vertrauen;to trust
der Geschmack;taste
der Teelöffel;teaspoon
die Packung;pack
die Himbeere;raspberry
wegschauen;to look away
der Verzehr;consumption
die Beere;berry
der Biologe;biologist
der Schimmel;mold
sich bilden;to form
mittlerweile;by now
spätestens;at the latest
der Kommunismus;communism
aufwachsen;to grow up
der Überfluss;abundance
die Nachkriegszeit;post-war period
der Krieg;war
verschimmelt;moldy
der Vorteil;advantage
pflanzlich;plant-based
das Risiko;risk
ausschließen;to exclude
tierisch;animal
verdorben;spoiled
etw mitessen;to eat sth
die Käsesorte;type of cheese
wegschneiden;to cut away
riskieren;to risk
wimmern;to whimper
der Menschenverstand;common sense
die Speise;food
der Zustand;condition
das Gefrierfach;freezer compartment
das Haltbarkeitsdatum;expiration date
die Art;type
enthalten;to contain
aufbewahren;to store
die Überraschung;surprise
der Alkohol;alcohol
die Verpackung;packaging
wunderschön;beautiful
die Marke;brand
verlinken;to link
die Produktempfehlung;product recommendation
die Korrektur;correction
