greifen;to reach
die Bestellung;order
die Erdnussbutter;peanut butter
die Zutat;ingredient
geröstet;roasted
die US-Botschaft;US Embassy
etw anbieten;to offer sth
leistungsstark;powerful
etw reinschmeißen;to throw sth in
flüssig;liquid
der Konservierungsstoff;preservative
sich absetzen;to settle
vor einer Weile;a while ago
ehrlich gesagt;to be honest
skeptisch;skeptical
was … betrifft;regarding …
mittlerweile;now
egal;no matter
sich anmelden;to sign up
der Zugang;access
miteinander;with each other
Ideen austauschen;to exchange ideas
etw aufgreifen;to bring sth up
der Rechner;computer
wobei;although
letztlich;ultimately
entsperren;to unlock
normalerweise;normally
jdn brennend interessieren;to be really interested in sth
der Startbildschirm;home screen
das Genre;genre
technisch;technically
etw preisgeben;to reveal sth
sich abwechseln;to take turns
jeweils;each
etw schätzen;to guess
sonst;otherwise
sozusagen;so to speak
kombiniert;combined
der Hauptkanal;main channel
navigieren;to navigate
insofern;insofar
jdn loben;to praise sb
die Privatsphäre;privacy
dafür;on the other hand
die Öffnungszeiten;opening hours
die Etage;floor
das Wunder;miracle
das Hilfsmittel;aid
der Wegweiser;guide
etw verlernen;to unlearn sth
etw aus etw schließen;to infer sth from sth
einen Anruf tätigen;to make a call
heutzutage;nowadays
die Kralle;claw
die Dachfirma;parent company
die Funktionalität;functionality
die Sprachnachricht;voice message
völlig;completely
unbrauchbar;unusable
sich schämen;to be ashamed
Ende-zu-Endeverschlüsselt;End-to-end encrypted
ganz besonders;in particular
die Firma;company
der Waffenhandel;arms trade
investieren;to invest
der Künstler;artist
allerdings;however
etw erwähnen;to mention sth
reinpassen;to fit in
vor allen Dingen;especially
das Angebot;offer
nicht klarkommen mit etw;to not be able to figure out sth
jdm zustimmen;to agree with sb
regelmäßig;regularly
etw durchsortieren;to sort sth
etw schieben;to move sth
erreichbar;reachable
etw ausblenden;to hide sth
etw verstecken;to hide sth
die Empfehlung;recommendation
gut sein in etw;be good at sth
das Namengeben;naming
sortiert;sorted
besonders;particularly
häufig;frequently
mit dem Daumen drankommen;to reach it with your thumb
die Reihe;row
sich etw sparen können ;to not have to bother with sth
der Bildschirm;screen
überhaupt;ever
reinschmeißen;to throw in
etw einsortieren;to sort sth
demnächst;soon
etw auschecken (ugs);to check sth out
Das wage ich zu bezweifeln.;I seriouly doubt that.
die Wochenübersicht;weekly overview
etw loben;to praise sth
teilweise;partly
der Fahrradfahrer;cyclist
der Wanderer;hiker
generell;generally
gleichzeitig;at the same time
etw reinstellen;to upload sth
stark (ugs);nice one (colloq)
dranbleiben;to keep it up
nicht so viel bringen;to not be very useful
die Notiz;note
nerdig;nerdy
sich in etw einarbeiten;to get the hang of sth
etw sortieren;to sort sth
auf etw zugreifen;to access sth
sowieso;anyway
etw löschen;to delete sth
tippen;to tap
das Einsortieren;organizing into
etw übernehmen;to adopt sth
der Papierkorb;trash
permanent;permanently
etw runterladen;to download sth
etw aufmachen;to open sth
budgetieren;to budget
das Lebensmittel;food
alles;all the
etw zur Verfügung haben;to have sth available
der Zweck;purpose
sich über etw klar werden;to become aware of sth
unterwegs;out and about
sich Grenzen setzen;to set limits
etw auflösen;to resolve sth
in etw bestehen;to depend on sth
sich verschulden;to get into debt
das Dispo-Limit;overdraft limit
von etw abraten;to advise against sth
Entscheidungen treffen;to make decisions
im Schnitt;on average
auf jeden Fall;definitely 
reichen;to be enough
umschichten;to reallocate
jdm etw vorschreiben;to tell sb what to do
sich Gedanken machen;to think about it
etw einsetzen;to use sth
etw nachverfolgen;to track sth
was miteinander zu tun haben;to have sth to do with each other
für etw stehen;to stand for sth
jedenfalls;in any case
die Fernsehserie;television series
das Abenteuer;adventure
viel mehr;rather
draufgehen (ugs);to go to a website
aktuell;at the moment
bestehen;to exist
etw in etw schmeißen;to throw sth into sth
verfügbar sein;to be available
entstehen;to come about
jdm etw beibringen;to teach sb sth
unbenutzt;unused
ewig;in a very long time
etw vorschlagen;to suggest sth
seit Längerem;for a while
etw anhaben (ugs);to have sth turned on
etw scheiße finden (ugs);to think that sth sucks (colloq)
der Schlüssel;key
das Regenradar;rain radar
die Bedienung;interface
die Nutzerdaten;user data
letztens;recently
rauskommen;to come out
der Werbetreibende;advertiser
akkurat;accurately
etw vorhersagen;to forecast sth
sich in etw reinnerden (ugs);to geek out on sth
die Südküste;south coast
die Wetterdaten;weather data
die Werbung;advertising
etw anzeigen;to display sth
zusammengehören;to belong together
komisch;weird
darunter;underneath it
die Bestattung;funeral
etw wegklicken;to click sth away
etw zumachen;to close sth
obskur;obscure
etw steuern;to control sth
geil (ugs);awesome
die Fernbedienung;remote control
der Ordner;folder
etw wegmachen;to remove sth
halt;just
die Reisebestätigung;travel confirmation
etw weiterleiten;to forward sth
die Übersicht;overview
die Hotelreservierung;hotel reservation
chronologisch;chronologically
aufgelistet;listed
zum Abschluss;to wrap up
das Verbrechen;crime
etw empfehlen;to recommend sth
gar nicht;not at all
etw verpassen;to miss sth
unbedingt;absolutely
dringend;urgently
tatsächlich;actually
gerade;currently
funktionieren;to work
der Verkehrsbetrieb;transport company
die öffentlichen Verkehrsmittel;public transportation
etw betreiben;to operate sth
die Verbindung;connection
die Ladestation;charging station
rumfahren;to cycle around
verspätet;delayed
ausfallen;to be cancelled
erdenklich;imaginable
das Fortbewegungsmittel;means of transportation
etw bestellen;to order sth
der Konzern;corporation
kurzfristig;at short notice
 etw schaffen;to fit in sth 
reißerisch;sensationalist
bis der Arzt kommt (ugs);like there's no tomorrow
die Ermittlung;investigation
der Waffenfund;weapons find
der Feuerwehreinsatz;fire department operation
die Lackiererei;paint shop
null (ugs);not at all
der todsichere Garant;sure-fire way
etw reduzieren;to reduce sth
die Informationssendung;information program
hilfreich;helpful
sich etw vorstellen;to imagine sth
die Verabschiedung;good-bye
